Date,TowerID,Place,Region,Description of change,Source,Route
2020-03-06,11445,"Sully, S John Bapt","The Vale of Glamorgan, South Glamorgan, Wales",1-6: frameid added; fr1: details added,Tim Jackson,00013640
2020-03-06,10197,"Tong, S Bartholomew",Shropshire,Restoration of ringing fittings has started,TimJ (#268 info D Potter),e-mail
2020-03-06,13888,"Wapley, S Peter",Gloucestershire,"1-6: turning added; fr1: material amended,truss,layout added",Tim Jackson,00013639
2020-03-06,14872,"Westminster, Collegiate Ch of S Peter",Greater London,fr1: details added,Tim Jackson,e-mail
2020-03-05,10200,"St Allen, S Alleyne",Cornwall,Bells are unringable,"Eric Bannister, TDG Central Sec",e-mail
2020-03-04,16409,"Bishop Wilton, S Edith",East Riding of Yorkshire,SatNav destination added,Sam Austin,e-mail
2020-03-03,10806,"Bardwell, S Peter & S Paul",Suffolk,PN start time added,JCB (church webpage),e-mail
2020-03-03,10806,"Bardwell, S Peter & S Paul",Suffolk,Indication of available toilet facility added,Neal Dodge,e-mail
2020-03-02,12063,"Frenchay, S John Bapt",Gloucestershire,Dis1: added,Nick Bowden,00013631
2020-03-02,12677,"Scaldwell, S Peter & S Paul",Northamptonshire,"PN info amended (1,3,5 Wed now rather than 2,4)","Rob Palmer (pp David Keir, Tower Captain)",e-mail
2020-03-01,15761,"Penarth, S Augustine","The Vale of Glamorgan, South Glamorgan, Wales",fr1: details added,John Baldwin,database
2020-02-28,10202,"Burton, S Nicholas",Cheshire,1-6: nominal added,Chris Pickford,e-mail
2020-02-28,15987,"Byford, S John Bapt",Herefordshire,Tenor wt amended (to 'as received' value),Paul Mason (JT),e-mail
2020-02-28,15987,"Byford, S John Bapt",Herefordshire,Now a delisted ring of 3,"TimJ (#267 info P Mason, JT)",e-mail
2020-02-28,15987,"Byford, S John Bapt",Herefordshire,"1-3: wt,diam amended,turning added",D Paul Mason,e-mail
2020-02-28,13803,"Cambridge, S Edward K&M",Cambridgeshire,"1,2,4,5,6: canon info added",Adam McCurdy,e-mail
2020-02-27,10227,"Abergavenny, S Mary","Monmouthshire, Gwent, Wales",Sct: frameid added,Jack Pease,e-mail
2020-02-27,15909,"Audley, S James Gt",Staffordshire,Removed:  www.stjamesaudley.co.uk/   not found,TimJ (#267),URLbad
2020-02-27,16249,"Bathurst, Cath Ch of All Saints","New South Wales, Australia",Removed:  www.bathurstbellringers.org.au/   not found,TimJ (#267),URLbad
2020-02-27,15173,"Buckhorn Weston, S John Bapt",Dorset,"ex2,ex6: frameid amended",Matthew Higby,00013628
2020-02-27,10202,"Burton, S Nicholas",Cheshire,Bells currently at Loughborough: complete restn of fittings,TimJ (#267),e-mail
2020-02-27,10202,"Burton, S Nicholas",Cheshire,"1-6: frameid added; fr1: truss,layout added,material amended",Tim Jackson,e-mail
2020-02-27,10473,"Cherry Hinton, S Andrew",Cambridgeshire,www.cherryhintonbellringers.org.uk/   replaced,TimJ (#267),URLbad
2020-02-27,11757,"Colchester, S Peter",Essex,www.colchesterbells.co.uk  replaced,TimJ (#267),URLbad
2020-02-27,16763,"Fornham St Martin, S Martin",Suffolk,"Nu7,Nu8: ('as received') details added",Tim Jackson,e-mail
2020-02-27,13809,"High Bickington, S Mary",Devon,Removed:  www.highbickingtonchurch.co.uk/bellringers.html,Not found  TimJ (#267),URLbad
2020-02-27,15884,"Hinton on the Green, S Peter",Worcestershire,Fittings undergoing restoration work at Loughborough,TimJ (#267 per D Potter),e-mail
2020-02-27,10686,"Idle, Holy Trinity",West Yorkshire,Removed:  www.idleringers.org.uk/    not found,TimJ (#267),URLbad
2020-02-27,15732,"Kempston, All Saints",Bedfordshire,Sct: details added,Tim Jackson,e-mail
2020-02-27,14651,"Little Munden, All Saints",Hertfordshire,Restoration work has begun,TimJ (#267 info JT),e-mail
2020-02-27,11081,"London, S Andrew Holborn",City of London,"fr1: truss,layout added,material amended",Tim Jackson,e-mail
2020-02-27,13028,"London, S Botolph without Bishopsgate",City of London,fr2: added,Tim Jackson,e-mail
2020-02-27,11914,"London, S Dunstan-in-the-West",City of London,fr1: layout added,Tim Jackson,e-mail
2020-02-27,11914,"London, S Dunstan-in-the-West",City of London,"ck1,ck2: note added",John Baldwin,database
2020-02-27,12323,"London, S Mary Woolnoth",City of London,"fr1A,fr1B: details added; 1-3: frameid added",Tim Jackson,e-mail
2020-02-27,16131,"London, S Michael, Cornhill",City of London,"fr1,fr2: truss added",Tim Jackson,e-mail
2020-02-27,12986,"London, S Olave, Hart Street",City of London,"fr1: truss,layout added",Tim Jackson,e-mail
2020-02-27,17135,"London, S Sepulchre without Newgate, Holborn Viaduct",City of London,"fr1,fr2: truss added; Sct: frameid added; fr4: added",Tim Jackson,e-mail
2020-02-27,12383,"Motcombe, S Mary",Dorset,Removed:  www.motcombe.sdgr.org.uk     not found,TimJ (#267),URLbad
2020-02-27,16960,"Newport, Minster Ch of S Thomas of Canterbury & S Thomas Ap",Isle of Wight,1-12: frameid added,Tim Jackson,e-mail
2020-02-27,16735,"Rainham, S Margaret",Kent,www.rainhambells.org.uk   replaced,TimJ (#267),URLbad
2020-02-27,10903,"Ramsbury, Holy Cross",Wiltshire,1: canon info amended; 6: canon info added,John Baldwin,database
2020-02-27,15589,"Shaftesbury, School Chapel Arts Centre, Cann",Dorset,No ringing at present: structural problems,TimJ (#267 info Lushtrust chairman),e-mail
2020-02-27,15589,"Shaftesbury, School Chapel Arts Centre, Cann",Dorset,Owner now Lushtrust (formerly Shaftesbury School foundation),.. and leased to Shaftesbury School  TimJ (#267),e-mail
2020-02-27,10043,"South Ockendon, Holy Cross (RC)",Essex,Removed:  www.holycrossockendon.org/   not found,TimJ (#267),URLbad
2020-02-27,15512,"South Weald, S Peter",Essex,Removed:  stpetersringers.southweald.org.uk   not found,TimJ (#267),URLbad
2020-02-26,15173,"Buckhorn Weston, S John Bapt",Dorset,Tenor replaced by one ex Keltek (so no longer 8-3-10),Matthew Higby,pNBR
2020-02-26,15173,"Buckhorn Weston, S John Bapt",Dorset,"2,6: replaced; 1,3,4,5: wt,nominal,diam amended;",Matthew Higby,00013627
2020-02-26,15173,"Buckhorn Weston, S John Bapt",Dorset,"1: canons,turning amended; 4: turning amended",Matthew Higby,e-mail
2020-02-26,15987,"Byford, S John Bapt",Herefordshire,Bells now removed: to be rehung dead for stationary chiming,Paul Mason (JT),e-mail
2020-02-26,15987,"Byford, S John Bapt",Herefordshire,"1,2: (app) wt added",John Baldwin,database
2020-02-26,11620,"Gwennap, S Weneppa",Cornwall,No longer a CC recognised Ringing Centre,Martin Spittle (Tower Captain),e-mail
2020-02-24,15649,"Goosnargh, S Mary V",Lancashire,PN amended (from Mon),Tom Hickson,e-mail
2020-02-24,10972,"Pidley, All Saints",Cambridgeshire,URL added,TimJ,e-mail
2020-02-24,15413,"Tilbrook, All Saints",Cambridgeshire,URL added,TimJ,e-mail
2020-02-24,15487,"Water Newton, S Remigius",Cambridgeshire,URL deleted,TimJ,e-mail
2020-02-24,11299,"Worcester, Cath Ch of Christ & BVM",Worcestershire,"Ds1: date is exact; 6b,9#: frameid amended; fr7: maker amended",Chris Pickford,e-mail
2020-02-24,11299,"Worcester, Cath Ch of Christ & BVM",Worcestershire,"fr1: date amended,mod date added; fr1A: added",Chris Pickford,00013626
2020-02-24,13252,"Yardley Hastings, S Andrew",Northamptonshire,Indication of available toilet facility added,Tony Finke (Tower Captain),e-mail
2020-02-23,14318,"Limehouse, S Anne",Greater London,"1,2: diam added; 1-10,Q1,Q2,Clk: turning added; 2: nom'l amended",Nigel Taylor,00013619
2020-02-23,11081,"London, S Andrew Holborn",City of London,1-8: nominal added,Nigel Taylor,e-mail
2020-02-23,16020,"London, S Lawrence Jewry",City of London,"1-7,Sct: nominal added; Sct: note,turning,frameid added",Nigel Taylor,00013621
2020-02-23,17135,"London, S Sepulchre without Newgate, Holborn Viaduct",City of London,"1-12: nominal added; 1,2,6,7,8,10,11: diam amended",Nigel Taylor,e-mail
2020-02-23,15651,"Monks Risborough, S Dunstan",Buckinghamshire,Postcode amended,Brian Highe,e-mail
2020-02-23,11014,"Orlingbury, S Mary",Northamptonshire,5: canon info amended,Tim Samson,e-mail
2020-02-23,15153,"Westminster, S Martin in the Fields",Greater London,"all: turning,frameid added; 1-12,2#: nominal amended;",Nigel Taylor,00013623
2020-02-23,15153,"Westminster, S Martin in the Fields",Greater London,"1,3-9,11,12,2#: diam amended",Nigel Taylor,00013623
2020-02-23,14872,"Westminster, Collegiate Ch of S Peter",Greater London,"1-4,6-10: nominal amended; 8,9: diam amended",Nigel Taylor,e-mail
2020-02-22,12766,"Glastonbury, S John Bapt",Somerset,Ringing suspension lifted,Brian Mountjoy,e-mail
2020-02-21,15542,"Aberavon, S Mary","Neath Port Talbot, West Glamorgan, Wales",No ringing till Easter 2020: heating instlln prevents access,Bob Hardy (info ex L&M website),e-mail
2020-02-21,16381,"Augusta, The Good Shepherd","Georgia, United States of America",1-8: frameid added; frame info added,Tim Jackson,e-mail
2020-02-21,16654,"Copdock, S Peter",Suffolk,Postcode amended,TimJ (#266),e-mail
2020-02-21,16847,"Great Missenden, S Peter & S Paul",Buckinghamshire,URL amended  TimJ (REMRKS266),www.missendenchurch.org.uk/belfry/ringing.php not found,e-mail
2020-02-21,14648,"Grinton, S Andrew",North Yorkshire,Indication of available toilet facility added,Richard Smith,e-mail
2020-02-21,11592,"Halifax, Minster Ch of S John Bapt",West Yorkshire,"1-12;0e,6b: turning added; fr1: truss,layout added",Tim Jackson,e-mail
2020-02-21,14435,"Ledbury, S Michael & All Angels",Herefordshire,Intention to augment to 10 noted,TimJ (#266; C Kippin),e-mail
2020-02-21,11585,"Leek, S Edward Conf",Staffordshire,www.nsacr.org.uk/tower_detail.php?tid=2929&return=list,not found; replaced   TimJ (#266),URLbad
2020-02-21,15928,"Miami, Trinity Episcopal Cathedral","Florida, United States of America",www.trinitymiami.org/multipage.php?id=7146&   not found,Alternative URL provided    TimJ (#266),URLbad
2020-02-21,14742,"Olveston, S Mary V",Gloucestershire,www.stmarysolveston.org.uk/groups/bellringers.html  removed,Alternative URL provided    TimJ (#266),URLbad
2020-02-21,14516,"Penzance, S Mary V",Cornwall,www.cl.cam.ac.uk/|chn2/pz.html  removed - not working,TimJ (#266),URLbad
2020-02-21,15224,"Pimlico, S Barnabas",Greater London,PN info added; general restriction lifted,Alan Taylor (via TimJ),e-mail
2020-02-21,10472,"Saltaire, United Reformed Ch",West Yorkshire,Ringing suspended: storm damage,TimJ (#266),e-mail
2020-02-21,12259,"Shotesham, All Saints",Norfolk,"3,4: frameid amended; fr3: deleted; fr1,2: date,material amended",Tim Jackson,e-mail
2020-02-21,13825,"Steppingley, S Lawrence",Bedfordshire,"1,2: frameid added; 3: frameid amended; fr1A: details added;",Tim Jackson,e-mail
2020-02-21,13825,"Steppingley, S Lawrence",Bedfordshire,"fr1: truss,layout added,material amended;",Tim Jackson,e-mail
2020-02-21,13825,"Steppingley, S Lawrence",Bedfordshire,1-6: turning added; 6: canon info amended,Matthew Higby,e-mail
2020-02-21,15357,"Stockton Heath, S Thomas",Cheshire,www.stthomas-stocktonheath.org.uk/our-churches/etc,replaced  TimJ (#266),e-mail
2020-02-21,14763,"Victoria, Cath Ch of Christ","British Columbia, Canada",www.victoriaringers.ca/   removed  - not working,TimJ (#266),URLbad
2020-02-21,10053,"Waltham Abbey, Holy Cross",Essex,Ringing appears to have resumed,TimJ (#266)  QPs on BB,e-mail
2020-02-21,14030,"Wantage, S Peter & S Paul",Oxfordshire,www.wantageparish.com/ourbells.htm   not working: replaced,TimJ (#266),URLbad
2020-02-21,11453,"Wimbledon, S Mary",Greater London,www.stmarywimbledonringers.org.uk/    removed  no such host,TimJ (#266),e-mail
2020-02-21,12385,"Wombourne, S Benedict Biscop",Staffordshire,www.wombourne-ringers.org.uk/   replaced  (no such host),TimJ (#266),URLbad
2020-02-21,12165,"York, Oratory Ch of S Wilfrid (RC)",North Yorkshire,"fr1: truss,layout added",Tim Jackson,e-mail
2020-02-20,10455,"Pakenham, S Mary",Suffolk,PN info added,Neal Dodge,e-mail
2020-02-20,15404,"Rougham, S Mary",Suffolk,PN info amended (was Thu),Neal Dodge,e-mail
2020-02-19,11917,"Bredon's Norton, Chapel of Ease",Worcestershire,1-6: nominal added,Chris Pickford,00013613
2020-02-19,12529,"Elkstone, S John Ev",Gloucestershire,Tenor wt amended (was app 11.5 cwt),Mark Walker (WofA),e-mail
2020-02-19,12529,"Elkstone, S John Ev",Gloucestershire,"1-6: wt,nominal amended; 1,2,3,5,6: diam amended;",Mark Walker,e-mail
2020-02-19,12529,"Elkstone, S John Ev",Gloucestershire,"3,6: turning amended; 1,2,4,5: turning added",Mark Walker,e-mail
2020-02-19,10641,"Findon, S John Bapt",West Sussex,"3,5: wt amended,turning added",Mark Walker,00013611
2020-02-19,15106,"Letcombe Bassett, S Michael & All Angels",Oxfordshire,Tenor wt amended (from app 5cwt),Mark Walker (WofA),pNBR
2020-02-19,15106,"Letcombe Bassett, S Michael & All Angels",Oxfordshire,"1-3: wt amended,nominal,turning added; 1,2: diam added;",Mark Walker,00013610
2020-02-19,15106,"Letcombe Bassett, S Michael & All Angels",Oxfordshire,3: diam amended,Mark Walker,00013610
2020-02-19,10247,"Trowbridge, S James",Wiltshire,PN info added,Ben Kipling,e-mail
2020-02-19,11884,"Woodbury, S Swithun",Devon,Tenor wt amended (from 23-2-21),Mark Walker (WofA),pNBR
2020-02-19,11884,"Woodbury, S Swithun",Devon,"4,5,6,8: wt amended,turning added",Mark Walker,e-mail
2020-02-19,12165,"York, Oratory Ch of S Wilfrid (RC)",North Yorkshire,"Ang: wt amended,canon info,turning,frameid added",Mark Walker,e-mail
2020-02-18,14596,"Dalton in Furness, S Mary",Cumbria,Tower (old) notice doesn't match pNBR (which DOES = JT info),Chris Pickford check,e-mail
2020-02-18,11622,"Hanslope, S James Gt",Buckinghamshire,Bells at Appleton for rehanging work,Graham Clifton,e-mail
2020-02-18,11559,"Hutton Cranswick, S Peter",East Riding of Yorkshire,No longer GF,Sam Austin,e-mail
2020-02-18,15106,"Letcombe Bassett, S Michael & All Angels",Oxfordshire,Being rehung with new fittings in existing frame,Mark Walker (WoA),e-mail
2020-02-18,11690,"Market Weighton, All Saints",East Riding of Yorkshire,fr1: date amended,Sam Austin,e-mail
2020-02-18,11482,"Silchester, S Mary",Hampshire,"Being rehung, new fittings, existing frame",Graham Clifton (WofA),e-mail
2020-02-18,14276,"St Mary Church, S Mary","The Vale of Glamorgan, South Glamorgan, Wales",GF added,Sam Austin,e-mail
2020-02-17,16763,"Fornham St Martin, S Martin",Suffolk,Intention to augment to 8 noted,Sharpe Trust application,JCB
2020-02-17,15732,"Kempston, All Saints",Bedfordshire,New tenor is 21-1-17 (in E: 649.2 Hz),M Walker (WofA),e-mail
2020-02-17,15732,"Kempston, All Saints",Bedfordshire,"1-10: wt,nominal,diam amended,turning,frameid added",Mark Walker,00013606
2020-02-17,15732,"Kempston, All Saints",Bedfordshire,"ex7,ex10: frameid added",Mark Walker,00013606
2020-02-17,14021,"Poplar, All Saints",Greater London,Fix regions for Poplar,,
2020-02-17,12165,"York, Oratory Ch of S Wilfrid (RC)",North Yorkshire,Dedicn slightly amended to reflect recent official change,D Hull,e-mail
2020-02-15,15909,"Audley, S James Gt",Staffordshire,1-8: frameid added; fr1: details added,Tim Jackson,e-mail
2020-02-15,13700,"Brewood, S Mary & S Chad",Staffordshire,"Sct: wt,note amended,nominal,canon info,(probable)founder added",Tim Jackson,e-mail
2020-02-15,12661,"Downham, S Margaret",Essex,"fr1: material,truss amended",Tim Jackson,e-mail
2020-02-15,13255,"Ecchinswell, S Lawrence",Hampshire,Being replaced by a lighter 6 (3-1-4 in D),TimJ(#265 info Matthew Higby),e-mail
2020-02-15,13098,"Hamilton, Cath Ch of S Peter","North Island, New Zealand","6,8: nominal added",Tim Jackson,e-mail
2020-02-15,14165,"Henley in Arden, S John Bapt",Warwickshire,3: welded(1991),Tim Jackson,e-mail
2020-02-15,15244,"Hunslet, S Mary V",West Yorkshire,Entry changed from Ring to ExRing,TimJ info,e-mail
2020-02-15,14437,"Lambourn, S Michael & All Angels",Berkshire,Restoration work has started: cracked bells to be welded,TimJ(#265 info B Laurie),e-mail
2020-02-15,12974,"Marksbury, S Peter",Somerset,Project on hold: fundraising as new frame required,TimJ(#265 info Matthew Higby),e-mail
2020-02-15,16666,"Nevern, S Brynach","Pembrokeshire, Dyfed, Wales",Project to remodel ring and augment to 10 now under way,TimJ(#265 info Matthew Higby),e-mail
2020-02-15,16412,"Nottingham, All Saints",Nottinghamshire,Ringing resumed; indication of presence of toilet added,TimJ(#265),e-mail
2020-02-15,13699,"Publow, All Saints",Somerset,Restoration work completed,TimJ(#265),e-mail
2020-02-15,13825,"Steppingley, S Lawrence",Bedfordshire,Now augmented to 6 and test rung,TimJ(#265 info Tom Blyth),e-mail
2020-02-15,13825,"Steppingley, S Lawrence",Bedfordshire,"1,2: canon info added",Tim Jackson,e-mail
2020-02-15,11833,"West Derby, S Thomas (Indian Orth)",Merseyside,Change of circumstances re dedication and usage noted,"TimJ; info D Kelly, N Willasey",e-mail
2020-02-14,17080,"Albury, S Peter & S Paul",Surrey,URL removed:  www.alburychurches.org/ringers.html  not found,TimJ(#265),URLbad
2020-02-14,15112,"Campsea Ashe, S John Bapt",Suffolk,URL amended: www.campseaashechurch.org.uk/Ringing_times.php,not found - TimJ(#265),URLbad
2020-02-14,11865,"Castle Hedingham, S Nicholas",Essex,www.eacr.org.uk/northern/Hedinghams.htm  deleted not found,TimJ(#265),URLbad
2020-02-14,10689,"Combe Raleigh, S Nicholas",Devon,comberaleigh.org/Church_Bells.html   URL not found,Alternative URL provided   TimJ(#265),URLbad
2020-02-14,16487,"East Garston, All Saints",Berkshire,removed: www.odg.org.uk/history/newbury/east_garston.htm,not found  TimJ(#265),URLbad
2020-02-14,16177,"Gestingthorpe, S Mary",Essex,removed: www.eacr.org.uk/northern/Hedinghams.htm  not found,TimJ(#265),URLbad
2020-02-14,16926,"Pebmarsh, S John Bapt",Essex,removed: www.eacr.org.uk/northern/Hedinghams.htm  not found,TimJ(#265),URLbad
2020-02-14,13300,"Salisbury, S Thomas of Canterbury",Wiltshire,Not found:   www.sarumstthomasbells.co.uk/,Alternative URL provided   TimJ(#265),URLbad
2020-02-14,14610,"Scofton, S John Ev",Nottinghamshire,Not found:  www.southwelldg.org.uk/towers/scofton.html,Alternative URL provided   TimJ(#265),URLbad
2020-02-14,10157,"Sible Hedingham, S Peter",Essex,not working: www.eacr.org.uk/northern/Hedinghams.htm  ...,... removed     TimJ(#265),URLbad
2020-02-14,11124,"Sonning, S Andrew",Berkshire,www.sonningparish.org.uk/bellringers.php   replaced,TimJ(#265),URLbad
2020-02-14,13740,"Staplehurst, All Saints",Kent,www.allsaintsstaplehurst.co.uk/bell_ringing.html  fails ...,... and replaced  TimJ(#265),URLbad
2020-02-13,16932,"Mangotsfield, S James",Gloucestershire,"2,6,7,8: diam amended",Chris Pickford,e-mail
2020-02-09,11136,"Church Stowe, S Michael",Northamptonshire,"Nu1,Nu3: added; Ex2: to become Svc",Tim Jackson,e-mail
2020-02-09,15602,"Llandinam, S Llonio","Powys, Wales",Indication of available toilet facility added,Neil Bennett,e-mail
